Scheduled Date,Type,Text,Media URL,Hashtags,Tagged Users,Title
2026-06-18 23:34,Video,"""Welcome To The City 17"" — rehearsal before the HATE show.

The rest is there.
IG: instagram.com/alex_y_yarvinen",https://app.publer.com/uploads/tmp/1781206811-931306599538980-4043-5063/f48e39cc2c4d2d6111ebdad51d5e97b1.mp4,#arcticdreams #rehearsal #backstage #extrememetal #balkanmetal #metaltok,,
2026-06-19 19:06,Video,"""Second Circle"" live on stage.

Want more? You know where to go.
IG: instagram.com/alex_y_yarvinen",https://app.publer.com/uploads/tmp/1781210530-432762344597198-6814-7367/39fc17b8bdb836dc76db66bea493be12.mp4,#arcticdreams #livemetal #secondcircle #extrememetal #balkanmetal #metaltok,,
